,Pay_Type_1,Pay_Type_2,Total_Payment
684,0.0,0.0,0.0
685,2500.0,0.0,2500.0
686,1250.0,0.0,1250.0
687,0.0,0.0,0.0
688,1250.0,0.0,1250.0
689,879.38,0.0,879.38
690,0.0,0.0,0.0
691,245.0,0.0,245.0
692,735.0,0.0,735.0
693,0.0,0.0,0.0
694,0.0,0.0,0.0
695,0.0,0.0,0.0
696,0.0,0.0,0.0
697,0.0,0.0,0.0
698,735.0,0.0,735.0
699,0.0,0.0,0.0
700,0.0,0.0,0.0
701,0.0,0.0,0.0
702,0.0,0.0,0.0
703,0.0,0.0,0.0
704,0.0,0.0,0.0
705,0.0,0.0,0.0
706,0.0,0.0,0.0
707,862.75,152.25,1015.0
708,0.0,0.0,0.0
709,0.0,0.0,0.0
710,0.0,0.0,0.0
711,0.0,1450.0,1450.0
712,62.72,1466.0,1528.72
713,480.29,0.0,480.29
714,0.0,0.0,0.0
715,0.0,0.0,0.0
716,110.26,0.0,110.26
717,46.87,671.25,718.12
718,2225.0,1695.0,3920.0
719,306.59,100.0,406.59
720,1598.6399999999999,1740.0,3338.64
721,207.0,100.0,307.0
722,1703.87,5925.35,7629.219999999999
723,7768.82,5042.75,12811.57
724,6783.78,2708.3,9492.08
725,5365.49,3931.95,9297.44
726,4191.35,2278.35,6469.7
727,10132.98,4372.8,14505.78
728,5843.32,2829.2,8672.52
729,5206.3099999999995,4013.79,9220.1
730,9388.39,2613.27,12001.66
731,6372.82,2816.08,9188.9
732,6113.23,1131.7,7244.93
733,9516.74,1002.0,10518.74
734,3215.8,1353.9,4569.7
735,7036.99,2273.54,9310.53
736,4003.3,53.9,4057.2
737,1470.0,0.0,1470.0
738,0.0,0.0,0.0
739,0.0,0.0,0.0
740,0.0,0.0,0.0
741,0.0,0.0,0.0
742,0.0,300.0,300.0
743,107.41,27.4,134.81
744,0.0,0.0,0.0
745,0.0,0.0,0.0
746,0.0,0.0,0.0
747,0.0,0.0,0.0
748,0.0,0.0,0.0
749,107.0,650.0,757.0
750,0.0,50.0,50.0
751,229.27999999999997,0.0,229.27999999999997
752,142.35,27.4,169.75
753,301.53999999999996,976.5799999999999,1278.12
754,430.21,662.75,1092.96
755,57.87,158.19,216.06
756,104.46,391.39,495.85
757,100.08,150.0,250.07999999999998
